HAR,Nov 14 1986
HRS,Dec 31 1981
HIG,Dec 15 1995
HAS,Dec 18 1984
HCP,Nov 5 1987
HCN,Mar 17 1992
HP,Oct 15 1980
HES,Apr 6 1983
HPQ,Jan 2 1980
HD,Sep 22 1981
HON,Jan 2 1980
HRL,Jan 2 1990
HSP,May 3 2004
HST,Apr 6 1983
HCBK,Jul 13 1999
HUM,Dec 31 1981
HBAN,Mar 26 1990
ITW,Nov 5 1987
IR,Jul 1 1985
TEG,Jan 5 1988
INTC,Mar 17 1980
ICE,Nov 16 2005
IBM,Jan 2 1980
IP,Jan 2 1980
IPG,Nov 5 1987
IFF,Dec 31 1981
INTU,Mar 22 1993
ISRG,Jun 16 2000
IVZ,Aug 25 1995
IRM,Feb 1 1996
JEC,Jan 12 1990
JNJ,Jan 2 1980
JCI,Mar 27 1985
JOY,May 25 2001
JPM,Dec 30 1983
JNPR,Jun 25 1999
KSU,Nov 5 1987
K,Dec 17 1984
KEY,Nov 5 1987
GMCR,Sep 27 1993
KMB,Dec 17 1984
KIM,May 24 2012
KMI,Feb 11 2011
KLAC,Mar 26 1990
KSS,May 19 1992
KRFT,Sep 17 2012
KR,Jan 2 1980
LB,Jul 1 1985
LLL,May 19 1998
LH,Mar 29 1990
LRCX,Mar 26 1990
LM,Nov 5 1987
LEG,Nov 5 1987
LEN,Nov 5 1987
LVLT,Mar 31 1998
LUK,Nov 5 1987
LLY,Jan 2 1980
LNC,Oct 5 1984
LLTC,Mar 26 1990
LMT,Jan 2 1980
L,Jul 10 1987
LO,Jun 10 2008
LOW,Jul 1 1985
LYB,Apr 28 2010
MTB,Oct 4 1991
MAC,Mar 10 1994
M,Feb 5 1992
MMM,Jan 2 1980
MNK,Jun 17 2013
MRO,Jan 2 1980
MPC,Jun 24 2011
MAR,Oct 13 1993
MMC,Dec 30 1987
MAS,Jun 10 1983
MA,May 25 2006
MAT,Jan 4 1982
MKC,Mar 26 1990
MCD,Jan 2 1980
MHFI,Jul 1 1985
MCK,Nov 15 1994
MJN,Feb 11 2009
MWV,Jul 1 1985
MDT,Dec 31 1981
MRK,Jan 2 1980
MET,Apr 5 2000
MCHP,Mar 19 1993
MU,May 16 1989
MSFT,Mar 13 1986
MHK,Apr 1 1992
TAP,Sep 7 1984
MDLZ,Jun 13 2001
MON,Oct 18 2000
MNST,Aug 18 1995
MCO,Oct 31 1994
MS,Feb 23 1993
MOS,Jan 26 1988
MSI,Jan 2 1980
MUR,Apr 6 1983
MYL,Dec 18 1987
NBR,Feb 28 1991
NDAQ,Jul 1 2002
NOV,Oct 29 1996
NAVI,Apr 17 2014
NTAP,Nov 21 1995
NFLX,May 23 2002
NWL,Jul 19 1984
NFX,Nov 12 1993
NEM,Apr 6 1983
NWSA,Jun 19 2013
NEE,Jun 10 1983
NLSN,Jan 27 2011
NKE,Dec 2 1980
NI,Oct 19 1984
NE,Mar 26 1990
NBL,Jan 4 1982
JWN,Jul 9 1986
NSC,Jun 2 1982
NTRS,Mar 26 1990
NOC,Dec 31 1981
NU,Aug 29 1984
NRG,Dec 2 2003
NUE,Sep 1 1983
NVDA,Jan 22 1999
KORS,Dec 15 2011
ORLY,Apr 23 1993
OXY,Dec 31 1981
OMC,Mar 26 1990
OKE,Jul 1 1985
ORCL,Mar 12 1986
OI,Dec 11 1991
PCG,Jan 2 1980
PCAR,Jul 9 1986
PLL,Aug 21 1991
PH,Jul 1 1985
PDCO,Oct 28 1992
PAYX,Mar 26 1990
PNR,Jan 2 1980
PBCT,Mar 26 1990
POM,Jan 2 1987
PEP,Jan 2 1980
PKI,Apr 6 1983
PRGO,Dec 17 1991
PETM,Jul 23 1993
PFE,Jan 2 1980
PM,Mar 17 2008
PSX,Apr 12 2012
PNW,Jul 19 1984
PXD,Aug 8 1997
PBI,Jan 2 1980
PCL,Jun 2 1989
PNC,Sep 7 1988
RL,Jun 12 1997
PPG,Apr 6 1983
PPL,Apr 8 1985
PX,Jun 17 1992
PCP,Jan 12 1990
PCLN,Mar 31 1999
PFG,Oct 23 2001
PG,Jan 2 1980
PGR,Jul 9 1986
PLD,Nov 21 1997
PRU,Dec 13 2001
PEG,Jan 2 1980
PSA,Nov 18 1980
PHM,Jul 1 1985
PVH,Jul 10 1987
QEP,Jun 16 2010
PWR,Feb 12 1998
QCOM,Dec 16 1991
DGX,Dec 26 1996
RRC,Dec 28 1992
RTN,Dec 31 1981
RHT,Aug 11 1999
REGN,Apr 2 1991
RF,Mar 26 1990
RSG,Jul 1 1998
RAI,Jun 1 1999
RHI,Mar 10 1992
ROK,Dec 31 1981
COL,Jun 15 2001
ROP,Feb 13 1992
ROST,Jul 9 1986
R,Jan 2 1980
SWY,Apr 26 1990
CRM,Jun 23 2004
SNDK,Nov 8 1995
SCG,Dec 30 1987
SLB,Dec 31 1981
SNI,Jun 12 2008
STX,Dec 11 2002
SEE,Dec 30 1987
SRE,Jun 29 1998
SHW,Jul 1 1985
SIAL,Mar 26 1990
SPG,Dec 14 1993
SJM,Oct 31 1994
SNA,Jul 1 1985
SO,Dec 31 1981
LUV,Jan 2 1980
SWN,Dec 30 1987
SE,Jan 3 2007
STJ,Dec 7 1989
SWK,Jul 1 1985
SPLS,Mar 26 1990
SBUX,Jun 26 1992
HOT,Nov 5 1987
STT,Jul 9 1986
SRCL,Aug 23 1996
SYK,Feb 1 1988
STI,Dec 30 1987
SYMC,Mar 26 1990
SYY,Jan 2 1980
TROW,Sep 13 1989
TGT,Apr 6 1983
TEL,Jun 14 2007
TE,Oct 29 1984
THC,Jan 4 1982
TDC,Oct 1 2007
TSO,Apr 6 1983
TXN,Jan 2 1980
TXT,Oct 24 1984
HSY,Jul 1 1985
TRV,Jul 9 1986
TMO,Sep 1 1987
TIF,Dec 30 1987
TWX,Mar 19 1992
TWC,Jan 10 2007
TJX,Jan 5 1988
TMK,Dec 30 1987
TSS,Jun 30 1989
TSCO,Feb 18 1994
RIG,May 28 1993
TRIP,Dec 7 2011
FOXA,Mar 11 1996
TSN,Jul 9 1986
TYC,Sep 28 1987
USB,Nov 5 1987
UA,Nov 18 2005
UNP,Jan 2 1980
UNH,Mar 26 1990
UPS,Nov 10 1999
MLM,Feb 17 1994
URI,Dec 18 1997
UTX,Jan 2 1980
UHS,Mar 26 1990
UNM,Nov 6 1986
URBN,Nov 9 1993
VFC,Jul 1 1985
VLO,Jan 4 1982
VAR,Jan 5 1988
VTR,May 5 1997
VRSN,Jan 30 1998
VZ,Nov 21 1983
VRTX,Jul 24 1991
VIAB,Dec 5 2005
V,Mar 19 2008
VNO,Jan 5 1988
VMC,Jan 5 1988
WMT,Jan 2 1980
WAG,Jul 1 1985
DIS,Jan 2 1980
WM,Sep 30 1991
WAT,Nov 17 1995
WLP,Oct 30 2001
WFC,Jan 2 1980
WDC,Jan 2 1987
WU,Oct 2 2006
WY,Jan 2 1980
WHR,Jun 10 1983
WFM,Jan 23 1992
WMB,Dec 31 1981
WIN,Feb 9 2005
WEC,May 29 1990
WYN,Jul 19 2006
WYNN,Oct 25 2002
XEL,Sep 24 1985
XRX,Jan 2 1980
XLNX,Jun 18 1990
XL,Jul 19 1991
XYL,Oct 13 2011
YHOO,Apr 12 1996
YUM,Sep 17 1997
ZMH,Jul 25 2001
ZION,Mar 26 1990
ZTS,Feb 1 2013
